Nr. (gesamt),Nr. (Staffel),Datum,Kandidaten,Jäger,Zeit bzw. Punkte des Jägers,Finalisten,Geld­summe,Nr. (gesamt) [1][2],Nr. (gesamt)[3],Nr. (gesamt)[4][Anm. 2]
,45,5. Jan. 2016,"Elise van Tastic, Heinrich Steinbach, Christoph Kaltenborn, Dina Dada",Holger Waldenberger,17 Punkte,"Elise, Heinrich, Christoph, Dina mit 21 + 2 Punkten",108.500 €,,78,
,46,7. Jan. 2016,"Susanne Fröhlich, Wolfgang Bahro, Ann Sophie, Dominic Boeer",Sebastian Klussmann,01 Min. 36 Sek.,"Susanne, Wolfgang, Dominic mit 13 Punkten",056.500 €,,79,
,S1,7. Jan. 2016,"Gesine Cukrowski mit Christian Berkel, Dunja Hayali mit Mitri Sirin, Antoine Monot, Jr. mit Steffen Henssler, Nadine Angerer mit Stefan Kretzschmar",Sebastian Jacoby,01 Min. 05 Sek.,"Dunja/Mitri, Nadine/Stefan mit 14 Punkten",011.000 €,,XXL 2,
,47,8. Jan. 2016,"Aische Pervers, Daniel Franzen, Marco Naskowski, Lutz Köhler",Klaus Otto Nagorsnik,12 Punkte,"Daniel, Marco mit 14 Punkten",004.000 €,,80,
,48,8. Jan. 2016,"Nuri Abacilar, Brigitte Blamage, Michael Beckenkamp, Dagmar Lühn",Holger Waldenberger,01 Min. 42 Sek.,Brigitte mit 9 Punkten,003.000 €,,81,
,49,11. Jan. 2016,"Michael Götz-Pijl, Bianca Schlegelberger, Lars Enke, Thomas Rubin",Sebastian Klussmann,09 Punkte,"Michael, Bianca, Thomas mit 15 Punkten",018.000 €,,82,
,50,12. Jan. 2016,"Marcel Borchmann, Deli Safari-Khaledi, Thomas Leskovar, Gianni Jovanovic",Klaus Otto Nagorsnik,01 Min. 47 Sek.,"Deli, Thomas mit 16 Punkten",008.000 €,,83,
,51,13. Jan. 2016,"Benedikt Wetzel, Christa Waller, Stephan Lehmann, Peter Lewerenz",Holger Waldenberger,01 Min. 42 Sek.,"Benedikt, Stephan mit 16 Punkten",008.000 €,,84,
,52,14. Jan. 2016,"Yasmina Filali, Wilson Gonzalez Ochsenknecht, Heinz Rudolf Kunze, Manon Straché",Klaus Otto Nagorsnik,01 Min. 50 Sek.,"Yasmina, Wilson Gonzalez, Heinz Rudolf mit 16 + 2 Punkten",007.000 €,,85,
,53,15. Jan. 2016,"Niklas Other, Rica Schmidt, Jürgen Gomille, Victor Röther",Sebastian Jacoby,15 Punkte,"Niklas, Rica, Jürgen, Victor mit 20 + 5 Punkten",024.000 €,,86,
,54,15. Jan. 2016,"Christian Gläsmann, Marion Buk-Kluger, Manfred Burgard, Daniel Shaltookchi",Holger Waldenberger,01 Min. 43 Sek.,Daniel mit 17 Punkten,002.000 €,,87,
,55,18. Jan. 2016,"Wolfgang Buddeberg, Klaus Boczian, Bärbel Kiy, Karsten Hohage",Sebastian Jacoby,16 Punkte,"Wolfgang, Klaus, Bärbel, Karsten mit 17 Punkten",012.000 €,,88,
,56,19. Jan. 2016,"Nina Queer, Pascal Klösener, Corinna Winko, Gerd Engels",Holger Waldenberger,01 Min. 20 Sek.,Corinna mit 14 + 0 Punkten,003.500 €,,89,
,57,20. Jan. 2016,"Manuel Rühl, Margret Wehning, Sebastian Kolb, Philipp Gantner",Klaus Otto Nagorsnik,11 Punkte,"Margret, Sebastian, Philipp mit 13 Punkten",008.300 €,,90,
,58,21. Jan. 2016,"Guildo Horn, Ulla Kock am Brink, Ingo Appelt, Tine Wittler",Sebastian Jacoby,01 Min. 21 Sek.,Ulla mit 13 Punkten,025.000 €,,91,
,59,22. Jan. 2016,"Wilhelm Geron, Jochen Hoynck, Koko Gieseler, Andy Lindert",Klaus Otto Nagorsnik,01 Min. 05 Sek.,"Jochen, Andy mit 12 Punkten",005.000 €,,92,
,60,22. Jan. 2016,"David Czmok, Ursula Mücke, Markus Kenzle, Konrad Walter",Holger Waldenberger,01 Min. 22 Sek.,"Ursula, Markus, Konrad mit 15 Punkten",040.750 €,,93,
,61,25. Jan. 2016,"Hannes Fabian, Jutta Müller, Tim Werbinsky, Max von Bredow",Klaus Otto Nagorsnik,16 Punkte,"Jutta, Tim, Max mit 20 + 3 Punkten",010.500 €,,94,
,62,26. Jan. 2016,"Sabrina Ianello, Thomas Heise, Frederik Melcher, Alois Kreitmeier",Holger Waldenberger,01 Min. 16 Sek.,"Sabrina, Thomas, Alois mit 14 Punkten",012.500 €,,95,
,63,28. Jan. 2016,"Maren Kroymann, Arne Friedrich, Gregor Meyle, Minh-Khai Phan-Thi",Sebastian Jacoby,01 Min. 10 Sek.,"Maren, Arne, Minh-Khai mit 11 Punkten",052.750 €,,96[Anm. 1],
,64,29. Jan. 2016,"Nicole Bankhoff, Siegmar Lantzsch, Eva Oermann, Peter Thomas Jäger",Sebastian Klussmann,15 Punkte,"Nicole, Siegmar, Eva mit 19 + 4 Punkten",004.750 €,,97,
,65,29. Jan. 2016,"Thomas Winkler, Christopher Jung, Annabel Rias, Ralf Muhmann",Holger Waldenberger,01 Min. 29 Sek.,"Thomas, Christopher mit 11 Punkten",061.000 €,,98,
,66,1. Feb. 2016,"Jens Wienand, Gabriele Steinhauer, Jannes Buß, Lothar Jadzinski",Sebastian Klussmann,06 Punkte,"Jens, Gabriele, Jannes, Lothar mit 18 + 6 Punkten",130.000 €,,99,
,67,2. Feb. 2016,"Harry Janus, Moritz Adler, Sieglinde Hess, Patrick May",Sebastian Jacoby,01 Min. 50 Sek.,"Harry, Moritz, Sieglinde mit 17 + 3 Punkten",012.500 €,,100,
,68,3. Feb. 2016,"Dirk Vielhuber, Jill Eileen Frenz, Julian Wulf, Eckhard Mey",Holger Waldenberger,01 Min. 47 Sek.,"Eckhard, Dirk mit 20 + 2 Punkten",005.500 €,,101,
,69,4. Feb. 2016,"Jasmin Wagner, Constantin von Jascheroff, Andrea Kaiser, Mathieu Carrière",Klaus Otto Nagorsnik,01 Min. 56 Sek.,Andrea mit 9 Punkten,002.400 €,,102,
,70,5. Feb. 2016,"Justin Winterberg, Fatima Khan, Sven Brauer, Lola LaMore",Sebastian Klussmann,01 Min. 13 Sek.,Fatima (alle ausgeschieden) mit 7 Punkten,000.500 €,,103,
,71,5. Feb. 2016,"Annette Bock, Michael Meichsner, Joyz Pearl, Christopher Scheibner",Sebastian Jacoby,01 Min. 57 Sek.,"Annette, Michael, Christopher mit 15 + 3 Punkten",108.000 €,,104,
,72,8. Feb. 2016,"Udo Wille, André Günner, Birgit Holtmann, Julian Schlömer",Sebastian Jacoby,11 Punkte,"Udo, Julian mit 17 + 6 Punkten",052.500 €,,105,
,73,9. Feb. 2016,"Andreas Nachtigall, Michael Peister, Daria-Maret Geller, Philipp Hotz",Sebastian Klussmann,01 Min. 59 Sek.,"Andreas, Michael, Daria mit 20 + 1 Punkten",012.000 €,,106,
,74,15. Feb. 2016,"Björn Maladinsky, Ashley Grace, Lisa Wilden, Agsin Kjasimov",Sebastian Jacoby,01 Min. 34 Sek.,"Björn, Lisa, Agsin mit 12 + 3 Punkten",078.500 €,,107,
,75,16. Feb. 2016,"Jens Wildberg, Markus Matern, Alexandra Künne-Sassinek, Stephan Toss",Holger Waldenberger,14 Punkte,"Jens, Markus, Stephan mit 19 + 3 Punkten",051.000 €,,108,
,76,17. Feb. 2016,"Wolfgang Plücken, Sebastian Kniest, Timo Glänzer, Michael Spohr",Sebastian Jacoby,01 Min. 44 Sek.,Michael mit 13 + 2 Punkten,050.000 €,,109,
,77,18. Feb. 2016,"Mirja du Mont, Jörn Schlönvoigt, Lisa Fitz, Marc Bator",Klaus Otto Nagorsnik,01 Min. 57 Sek.,"Mirja, Marc mit 13 + 1 Punkten",003.400 €,,110,
,78,19. Feb. 2016,"Guido Hagelstede, Tobias Langer, Petra Brumshagen, Sebastian Brings",Holger Waldenberger,01 Min. 27 Sek.,"Guido, Tobias, Petra, Sebastian mit 15 + 1 Punkten",010.020 €,,111,
,01,7. Okt. 2016,"Sebastian Köchig, Katja Steenbock, Robin Schlömer, Sandro Di Natale",Klaus Otto Nagorsnik,01 Min. 47 Sek.,Sebastian mit 19 + 1 Punkten,100.000 €,,,112
,02,14. Okt. 2016,"Renke Siefken, Osman Kaya, Philipp Hotz, Brigitte Kadach",Sebastian Jacoby,01 Min. 04 Sek.,"Brigitte, Osman, Renke mit 9 + 1 Punkten",011.000 €,,,113
,03,21. Okt. 2016,"Henriette Schamschula, Manfred Kiefer, Martina Keller, Harry Janus",Klaus Otto Nagorsnik,14 Punkte,"Henriette, Manfred, Martina, Harry mit 23 + 4 Punkten",017.500 €,,,114
,04,28. Okt. 2016,"Tobias Langer, Maximilian Römer, Steve Brauer, Barbara Boje",Sebastian Klussmann,01 Min. 38 Sek.,"Max, Barbara mit 15 + 1 Punkten",006.000 €,,,115
,05,4. Nov. 2016,"Daniel Shaltookchi, Claus Peter Simon, Holger Wockenfuß, Mario Kösslin",Holger Waldenberger,01 Min. 03 Sek.,"Mario, Daniel mit 12 Punkten",028.500 €,,,116
,06,11. Nov. 2016,"Bico Lange, Justin Winterberg, Beate Brakonier, Reinald Hoffsten",Sebastian Jacoby,01 Min. 33 Sek.,"Bico, Justin, Beate mit 18 Punkten",006.500 €,,,117
,07,18. Nov. 2016,"Catarina Wirth, Brigitte Blamage, Michael Spohr, Andrea Tegen",Holger Waldenberger,14 Punkte,"Michael, Andrea mit 16 + 4 Punkten",060.000 €,,,118
,08,25. Nov. 2016,"Deli Safari-Khaledi, Ernst Jäger-Buschart, Christoph Wötzel, Markus Müller",Sebastian Klussmann,01 Min. 41 Sek.,"Deli, Christoph mit 15 Punkten",050.000 €,,,119
,09,2. Dez. 2016,"Kathrin Horn, Fabian Stöhr, Bernd Glodeck, Annegret Jecke",Sebastian Jacoby,01 Min. 40 Sek.,"Fabian, Bernd mit 15 + 1 Punkten",005.500 €,,,120
,10,5. Dez. 2016,"Thomas Alexander, Laura Gille, Timo Schacht, Julia Kossmann",Klaus Otto Nagorsnik,01 Min. 38 Sek.,"Thomas, Laura, Timo, Julia mit 17 + 1 Punkten",008.600 €,,,121
,11,6. Dez. 2016,"Elisabeth Melzer, Manfred Mörker, Orchidee Brömme, Henrik Schaper",Holger Waldenberger,01 Min. 29 Sek.,"Elisabeth, Manfred, Henrik mit 12 + 1 Punkten",008.000 €,,,122
,12,7. Dez. 2016,"Bruno Lundius, Viktoryia Perez, Christoph Portig, Dennis Diedrich",Sebastian Klussmann,01 Min. 02 Sek.,"Viktoryia, Dennis mit 10 + 1 Punkten",003.300 €,,,123[5]
,13,8. Dez. 2016,"Joachim Saupe, Petra Lenzen, Rike Fabia Lohmann, Ronald Nienerza",Holger Waldenberger,01 Min. 50 Sek.,"Petra, Rike mit 8 Punkten",004.500 €,,,124
,14,9. Dez. 2016,"Carolin Tauchnitz, Sebastian Marschall, Elke Breuer, Botho von Saltzwedel",Sebastian Jacoby,01 Min. 36 Sek.,"Elke, Carolin mit 14 Punkten",068.000 €,,,125
,15,12. Dez. 2016,"Janine von Diest, Michael Pfeifer, Regina Schmidt, Marcel Kösling",Klaus Otto Nagorsnik,01 Min. 36 Sek.,"Janine, Michael, Regina, Marcel mit 15 + 1 Punkten",012.500 €,,,126
,16,13. Dez. 2016,"Manfred Kurfiß, Marianne Stresow, Lena Müller, Christian Kinner",Sebastian Jacoby,01 Min. 55 Sek.,"Marianne, Lena mit 16 + 2 Punkten",006.000 €,,,127
,17,14. Dez. 2016,"Joachim Gräwe, Nadine-Hanan Gröger, Uwe Knop, Lars Vorberger",Sebastian Klussmann,01 Min. 03 Sek.,Uwe mit 11 Punkten,003.000 €,,,128[6]
,18,21. Dez. 2016,"Nicola Brüggeleben, Cagdas Cetinkaya, Carsten Beer, Stephanie Hennig",Klaus Otto Nagorsnik,01 Min. 34 Sek.,"Nicola, Carsten mit 10 + 1 Punkten",005.500 €,,,129
,19,22. Dez. 2016,"Nadja Mrowetz, Rudi Henning, Gabriele Peulvast, Hermann Osterhage",Sebastian Klussmann,12 Punkte,"Nadja, Gabriele, Hermann mit 16 + 4 Punkten",089.500 €,,,130
,20,23. Dez. 2016,"Svenja Fojut, Klaus-Dieter Welzel, Kirsten Deppe, Ugur Kahveci",Sebastian Jacoby,01 Min. 19 Sek.,"Klaus-Dieter, Kirsten mit 9 + 2 Punkten",003.450 €,,,131
,21,27. Dez. 2016,"Tobias Snippe, Renate Dada-Tremblau, Theresa Helsper, Uwe Vosse",Sebastian Jacoby,01 Min. 36 Sek.,"Renate, Uwe mit 13 + 1 Punkten",062.000 €,,,132
,22,27. Dez. 2016,"Katharina Engelhardt, Florian Freihofer, Nicole Marquardt, Wolfgang Glauche",Holger Waldenberger,01 Min. 30 Sek.,"Katharina, Florian mit 14 + 1 Punkten",054.000 €,,,133
,23,28. Dez. 2016,"Delia West, Andreas Pluto, Christine Höhl, Axel Hecht",Klaus Otto Nagorsnik,12 Punkte,"Delia, Andreas, Axel mit 19 + 3 Punkten",006.250 €,,,134
,24,29. Dez. 2016,"Sarah Malaise, Hans-Günter Wilden, Petra Schiefen, Oliver Glen",Sebastian Klussmann,01 Min. 36 Sek.,Petra mit 12 + 1 Punkten,002.000 €,,,135
,25,30. Dez. 2016,"Elisabeth Münch, Julian Groenwoldt, Tanja Lüchinger, Andreas Friemel",Klaus Otto Nagorsnik,01 Min. 37 Sek.,"Elisabeth, Julian mit 16 Punkten",016.000 €,,,136
,26,2. Jan. 2017,"Stefan Kullack, Angelika Bork, Ralf Sukenik, Jacqueline Süß",Sebastian Klussmann,16 Punkte,"Angelika, Ralf, Jacqueline mit 17 + 2 Punkten",030.500 €,,,137
,27,3. Jan. 2017,"Andrea Collin-Johann, Mario Martz, Inga Bremermann, Mohammed Ghalamkarizadeh",Klaus Otto Nagorsnik,01 Min. 13 Sek.,Mohammed mit 11 + 1 Punkten,075.000 €,,,138
,28,4. Jan. 2017,"Uwe Strachau, Dagmar Ahrens, Matthias Rediker, Henriett Beres",Sebastian Jacoby,01 Min. 25 Sek.,"Uwe, Dagmar, Matthias mit 14 + 1 Punkten",010.000 €,,,139
,29,5. Jan. 2017,"Walter Quanz, Monika Regner, Melanie Gerlach, Lukas Rogel",Sebastian Klussmann,01 Min. 50 Sek.,"Walter, Lukas mit 15 + 1 Punkten",005.000 €,,,140
,30,6. Jan. 2017,"Lars Sörensen, Ulrike Bethmann, Egon Langhammer, Kathrin Düffert",Holger Waldenberger,15 Punkte,"Lars, Ulrike, Egon mit 17 + 3 Punkten",009.200 €,,,141
,31,9. Jan. 2017,"Kerstin Bitter, Christoph Fox, Matthias Kloß, Claudia Martin",Klaus Otto Nagorsnik,01 Min. 34 Sek.,"Kerstin, Claudia mit 13 + 1 Punkten",002.800 €,,,142
,32,10. Jan. 2017,"Ilka Scheer, Sven Joskowiak, Lionard Tampier, Brigitte Schaffner",Holger Waldenberger,01 Min. 03 Sek.,"Ilka, Lionard mit 11 Punkten",003.000 €,,,143
,33,11. Jan. 2017,"Thomas Schmid, Marle Düring, Sebastian Lindemann, Andrea Freesemann",Grażyna Werner,01 Min. 17 Sek.,"Marle, Sebastian, Andrea mit 9 + 1 Punkten",022.500 €,,,144
,34,12. Jan. 2017,"Remo Schwabe, Effi Löbnau, Adriana Röder, Lothar Ludigkeit",Sebastian Jacoby,01 Min. 18 Sek.,"Remo, Lothar mit 14 Punkten",005.500 €,,,145
,35,13. Jan. 2017,"Robin Hemp, Sabine Avenhaus, Erkan Seyran, Carolyn Srugies",Sebastian Klussmann,01 Min. 43 Sek.,"Robin, Sabine, Carolyn mit 16 + 1 Punkten",006.000 €,,,146
,36,16. Jan. 2017,"Sascha Windmöller, Birgit Dethlefs, Reinhard Hausch, Nina Bergmann",Klaus Otto Nagorsnik,01 Min. 38 Sek.,"Reinhard, Nina mit 13 + 1 Punkten",006.000 €,,,147
,37,17. Jan. 2017,"Lore Kleemann, Niclas Jechow, Verena Koterski, Andreas Klein",Sebastian Jacoby,09 Punkte,"Lore, Niclas, Verena, Andreas mit 18 + 7 Punkten",060.000 €,,,148
,38,18. Jan. 2017,"Thomas Lüker, Krstina „Tina“ Stolzenburg, Jonas Kalauch, Sabine Jahn",Holger Waldenberger,01 Min. 50 Sek.,"Krstina, Jonas, Sabine mit 15 + 1 Punkten",011.500 €,,,149
,39,19. Jan. 2017,"Margrit Hägele, Andreas Stadler, Kirsten Stein, Rolf Gottschalk",Sebastian Klussmann,01 Min. 42 Sek.,"Margrit, Kirsten, Rolf mit 12 + 3 Punkten",080.500 €,,,150
,40,23. Jan. 2017,"Silke Rostami, Vicco von Foullon, Horst-Günther Lueßen, Anne-Katrin Maurer",Klaus Otto Nagorsnik,15 Punkte,"Silke, Horst-Günther, Anne mit 16 + 1 Punkten",008.500 €,,,151
,41,24. Jan. 2017,"Melanie Pries, Julian Marquardt, Isabel Bergmann, Marc Vanacker",Grażyna Werner,11 Punkte,"Melanie, Julian, Isabel, Marc mit 19 + 3 Punkten",033.000 €,,,152
,42,25. Jan. 2017,"Rüdiger Wenzel, Anja Reiß, Youssef Akil, Beate Eckert-Dosedal",Sebastian Klussmann,01 Min. 29 Sek.,"Anja, Beate mit 11 + 1 Punkten",004.000 €,,,153
,43,26. Jan. 2017,"Patrick Christoph Rebmann, Dagmar Ernst, Justin Jackl, Nadine Hanke",Sebastian Jacoby,01 Min. 32 Sek.,"Patrick, Justin, Nadine mit 14 Punkten",106.500 €,,,154
,44,27. Jan. 2017,"Daniel Harsche, Cornelia ""Connie"" Schubert, Sascha Blättermann, Liane Kirchner-Teschner",Holger Waldenberger,01 Min. 20 Sek.,"Daniel, Liane mit 12 + 1 Punkten",006.500 €,,,155
,45,30. Jan. 2017,"Silke Mackels, Caren Wicka, Julian Weicht, Michael Link",Holger Waldenberger,01 Min. 17 Sek.,"Julian, Michael mit 13 + 1 Punkten",075.259 €,,,156
,46,31. Jan. 2017,"Maximilian Stauder, Doris Greßler, Astrid Huemke, Jörn Othersen",Sebastian Klussmann,13 Punkte,"Maximilian, Doris mit 14 + 3 Punkten",006.500 €,,,157
,47,1. Feb. 2017,"Tilmann Meinshausen, Nicole Baldwin, Gerald Braun, Eva Ulrich",Klaus Otto Nagorsnik,01 Min. 58 Sek.,"Eva, Gerald, Nicole, Tilmann mit 17 + 1 Punkten",047.000 €,,,158
,48,2. Feb. 2017,"Marcel Berkhahn, Birte Nagel, Johanna Geils, Olufemi Smith",Sebastian Klussmann,01 Min. 30 Sek.,"Olufemi, Marcel mit 11 + 1 Punkten",051.500 €,,,159
,49,3. Feb. 2017,"Götz Lachmann, Sonja Wohlhaupter, René Bizimana, Sandra Eisfeld",Sebastian Jacoby,01 Min. 12 Sek.,René mit 12 Punkten,060.000 €,,,160
,50,6. Feb. 2017,"Brinja Möller, Pascal Bothe, Katja Tollgreef, Ralf Lembke",Klaus Otto Nagorsnik,15 Punkte,"Pascal, Ralf mit 17 + 3 Punkten",026.500 €,,,161
,51,7. Feb. 2017,"Sarah Kaiser, Stefan Kiontke, Behzad Pourharandi, Viola Borchman",Grażyna Werner,09 Punkte,"Viola, Behzad, Stefan, Sarah mit 14 + 3 Punkten",041.000 €,,,162
,52,8. Feb. 2017,"Heiko Rühmann, Evelyn Schnapka, Susan Tenhaeff, Alexander Heilmann",Holger Waldenberger,14 Punkte,"Heiko, Evelyn, Susan, Alexander mit 20 + 3 Punkten",013.200 €,,,163
,53,9. Feb. 2017,"René Agular, Kai Schierhorn, Silke Rappelt, Bettina Weise",Sebastian Jacoby,12 Punkte,"Kai, Silke, Bettina mit 15 + 3 Punkten",056.500 €,,,164
,54,10. Feb. 2017,"Ingo Schmiedeberg, Verena Fehrlage, Suzan Zymella, Achim Finger",Sebastian Klussmann,13 Punkte,"Ingo, Suzan, Achim mit 15 + 4 Punkten",034.500 €,,,165
,55,13. Feb. 2017,"Baris Kösebas, Birgit Neuhaus, Annika Eckhardt, Markus Schollmeyer",Holger Waldenberger,02 Min.,"Birgit, Annika, Markus mit 15 + 4 Punkten",054.000 €,,,166
,56,14. Feb. 2017,"Matthias Bleiß, Nadine Stegemann, Wolfgang Fuchs, Anna Hennersperger",Holger Waldenberger,15 Punkte,"Nadine, Wolfgang, Anna mit 19 + 2 Punkten",007.500 €,,,167
,57,15. Feb. 2017,"Nicolas Poick, Tanja Mück, Heike Bischoff, Markus Dinkheller",Holger Waldenberger,01 Min. 16 Sek.,Markus mit 9 Punkten,003.000 €,,,168
,58,16. Feb. 2017,"Thomas Finger, Jutta Hartmann, Meghashyam Kadwey, Anna Schröder",Sebastian Klussmann,10 Punkte,"Thomas, Jutta, Meghashyam mit 12 + 4 Punkten",006.700 €,,,169
,59,17. Feb. 2017,"Ernst Niehof, Kamilla Duda, Patrick Otte, Neni Gotzmann",Sebastian Jacoby,01 Min. 00 Sek.,Patrick mit 11 Punkten,002.000 €,,,170
,60,20. Feb. 2017,"Sarah Sternhofer, Andreas Jeworrek, Sabine Rehmert, Michael Sack",Sebastian Jacoby,01 Min. 18 Sek.,Andreas mit 13 Punkten,003.500 €,,,171[7]
,61,21. Feb. 2017,"Michael Schneider, Bianca Berle, André Diers, Sandra Angeles Antunez",Sebastian Klussmann,01 Min. 28 Sek.,"Sandra, André, Michael mit 14 + 2 Punkten",052.100 €,,,172[8]
,62,22. Feb. 2017,"Wolfgang Stoll, Carolin Liebetrau, Toni Podpolinski, Dorothee Giffey",Holger Waldenberger,01 Min. 29 Sek.,"Toni, Dorothee mit 12 + 2 Punkten",005.000 €,,,173[9]
,63,23. Feb. 2017,"Hannes Schwelm, Birgit Levknecht, Horst Grüness, Jessica Braun",Klaus Otto Nagorsnik,01 Min. 53 Sek.,Hannes mit 8 Punkten,002.000 €,,,174
,64,24. Feb. 2017,"Dominic Bucher, Vanessa-Nina Kress, Birgit Hickman, Florian Klaue",Sebastian Jacoby,08 Punkte,"Dominic, Vanessa, Birgit, Florian mit 15 + 6 Punkten",032.000 €,,,175
,65,27. Feb. 2017,"Karin Mathenz, Daniel Buschmann, Barbara Wurz, Jona Cambatzu",Sebastian Jacoby,01 Min. 48 Sek.,"Barbara, Daniel, Karin mit 16 Punkten",007.000 €,,,176[10]
,66,28. Feb. 2017,"Tim Petersen, Valerie Ostermann, Sebastian Theurich, Marlene Manduke",Sebastian Klussmann,09 Punkte,"Valerie, Sebastian mit 12 + 6 Punkten",052.000 €,,,177[11]
,67,1. März 2017,"Christian Hill, Irene Pezzei, Sylvie Katterfeld, Nicholas Fanselow",Holger Waldenberger,01 Min. 10 Sek.,"Christian, Nicholas mit 12 + 1 Punkten",101.000 €,,,178[12]
,68,3. März 2017,"Jennifer Klotz, Lars Becker, Michael Hartmann, Britta Gramenz",Sebastian Jacoby,10 Punkte,"Jennifer, Lars, Michael, Britta mit 13 + 7 Punkten",030.000 €,,,179
,S1,4. März 2017,"Team „Schauspiel“: Axel Milberg, Andrea Sawatzki, Martin Brambach, Mimi Fiedler",Sebastian Jacoby,08 Punkte,"Axel, Andrea, Martin, Mimi mit 15 + 5 Punkten",037.750 €,,,XXL 3
,S1,4. März 2017,"Team „Musik“: Gitte Hænning, Tom Gaebel, Kristina Bach, Sebastian Krumbiegel",Klaus Otto Nagorsnik,12 Punkte,"Gitti, Tom, Kristina mit 13 + 4 Punkten",010.000 €,,,XXL 3
,S1,4. März 2017,"Team „Sport“: Andreas Toba, Sandra Völker, Stefan Effenberg, Claudia Pechstein",Sebastian Klussmann,01 Min. 38 Sek.,Sandra mit 6 Punkten,002.500 €,,,XXL 3
,S1,4. März 2017,"Team „Comedy“: Maren Kroymann, Wolfgang Trepper, Esther Schweins, Michael Kessler",Holger Waldenberger,11 Punkte,"Maren, Wolfgang, Esther, Michael mit 16 + 5 Punkten",168.000 €,,,XXL 3
,69,6. März 2017,"Laurens Roggenbuck, Helga Wahlers, Merlin Koglin, Claire Möhle",Klaus Otto Nagorsnik,01 Min. 51 Sek.,"Helga, Claire mit 14 + 1 Punkten",026.000 €,,,180
,70,7. März 2017,"Lea Schulz, Dirk Hey, Manuela Jekubik-Kloodt, Evangelos Alexiou",Sebastian Klussmann,01 Min. 16 Sek.,"Lea, Manuela, Evangelos mit 11 + 1 Punkten",023.250 €,,,181
